Day,Temperature Day,Wind Day,Night,Temperature Night,Wind Night
01/01/2022,-4,743,Ю 1м/с,-3,740,Ю 1м/с
02/01/2022,-3,734,З 2м/с,-8,739,З 2м/с
03/01/2022,-11,740,З 2м/с,-16,740,З 2м/с
04/01/2022,-15,741,В 2м/с,-14,743,В 2м/с
05/01/2022,-16,749,З 1м/с,-19,748,З 1м/с
06/01/2022,-7,741,В 2м/с,0,737,В 2м/с
07/01/2022,0,739,ЮЗ 2м/с,0,740,ЮЗ 2м/с
08/01/2022,-8,753,З 2м/с,-11,758,З 2м/с
09/01/2022,-11,762,В 2м/с,-15,761,В 2м/с
10/01/2022,-12,755,В 2м/с,-12,754,В 2м/с
11/01/2022,-8,752,В 1м/с,-8,753,В 1м/с
12/01/2022,-7,755,В 2м/с,-8,755,В 2м/с
13/01/2022,-9,749,В 3м/с,-8,744,В 3м/с
14/01/2022,-15,728,Ю 2м/с,-10,722,Ю 2м/с
15/01/2022,-10,719,СЗ 3м/с,-13,726,СЗ 3м/с
16/01/2022,-6,736,З 2м/с,-6,740,З 2м/с
17/01/2022,-6,743,ЮЗ 2м/с,-7,742,ЮЗ 2м/с
18/01/2022,-2,744,Ю 2м/с,-2,747,Ю 2м/с
19/01/2022,-5,749,ЮВ 2м/с,-6,751,ЮВ 2м/с
20/01/2022,-9,752,В 1м/с,-11,752,В 1м/с
21/01/2022,-11,752,В 1м/с,-13,753,В 1м/с
22/01/2022,-7,754,В 3м/с,-7,755,В 3м/с
23/01/2022,-10,761,В 3м/с,-10,761,В 3м/с
24/01/2022,-11,763,В 2м/с,-13,763,В 2м/с
25/01/2022,-14,758,В 2м/с,-16,755,В 2м/с
26/01/2022,-11,750,ЮЗ 1м/с,-12,751,ЮЗ 1м/с
27/01/2022,-8,753,Ш,-7,753,Ш
28/01/2022,-7,751,В 2м/с,-8,749,В 2м/с
29/01/2022,-12,747,В 1м/с,-13,746,В 1м/с
30/01/2022,-2,740,В 1м/с,-4,742,В 1м/с
31/01/2022,-3,745,В 3м/с,-2,745,В 3м/с
01/02/2022,0,744,Ю 2м/с,-2,745,Ю 2м/с
02/02/2022,-2,750,Ю 1м/с,0,750,Ю 1м/с
03/02/2022,0,748,Ю 2м/с,0,747,Ю 2м/с
04/02/2022,-2,742,В 2м/с,-4,741,В 2м/с
05/02/2022,-4,741,Ш,-4,742,Ш
06/02/2022,-3,743,З 1м/с,-4,744,З 1м/с
07/02/2022,-5,747,З 1м/с,-7,749,З 1м/с
08/02/2022,-5,751,Ю 1м/с,-5,751,Ю 1м/с
09/02/2022,-2,751,ЮВ 2м/с,-4,752,ЮВ 2м/с
10/02/2022,-6,746,В 3м/с,-6,745,В 3м/с
11/02/2022,-1,746,З 2м/с,-1,746,З 2м/с
12/02/2022,+1,748,З 1м/с,-4,749,З 1м/с
13/02/2022,-4,749,ЮЗ 3м/с,-4,750,ЮЗ 3м/с
14/02/2022,-2,755,Ю 1м/с,-6,753,Ю 1м/с
15/02/2022,-4,754,ЮЗ 2м/с,-8,755,ЮЗ 2м/с
16/02/2022,-7,757,З 1м/с,-12,757,З 1м/с
17/02/2022,-11,753,В 2м/с,-12,752,В 2м/с
18/02/2022,-5,749,В 3м/с,-7,749,В 3м/с
19/02/2022,-5,749,ЮВ 2м/с,-4,748,ЮВ 2м/с
20/02/2022,+1,740,ЮЗ 3м/с,+1,740,ЮЗ 3м/с
21/02/2022,+1,744,З 2м/с,-2,746,З 2м/с
22/02/2022,0,747,Ю 1м/с,+2,747,Ю 1м/с
23/02/2022,+1,746,ЮЗ 3м/с,0,747,ЮЗ 3м/с
24/02/2022,+1,755,ЮЗ 1м/с,0,756,ЮЗ 1м/с
25/02/2022,-2,760,В 2м/с,-5,759,В 2м/с
26/02/2022,-1,755,В 2м/с,0,755,В 2м/с
27/02/2022,+1,755,В 3м/с,0,758,В 3м/с
28/02/2022,+2,758,В 2м/с,-1,758,В 2м/с
01/03/2022,+1,758,СЗ 1м/с,-6,758,СЗ 1м/с
02/03/2022,-5,758,В 1м/с,-5,755,В 1м/с
03/03/2022,-5,750,В 1м/с,-6,749,В 1м/с
04/03/2022,-2,742,СВ 2м/с,-2,740,СВ 2м/с
05/03/2022,-2,730,СВ 3м/с,-4,732,СВ 3м/с
06/03/2022,-9,740,СЗ 3м/с,-10,743,СЗ 3м/с
07/03/2022,-3,744,Ш,-9,747,Ш
08/03/2022,-7,749,В 2м/с,-8,750,В 2м/с
09/03/2022,-7,752,СВ 2м/с,-8,753,СВ 2м/с
10/03/2022,-6,756,СВ 2м/с,-10,758,СВ 2м/с
11/03/2022,-7,755,СВ 3м/с,-10,755,СВ 3м/с
12/03/2022,-7,754,СВ 2м/с,-10,755,СВ 2м/с
13/03/2022,-5,755,З 1м/с,-9,754,З 1м/с
14/03/2022,-8,752,В 1м/с,-10,752,В 1м/с
15/03/2022,-6,756,В 4м/с,-9,758,В 4м/с
16/03/2022,-8,760,В 4м/с,-8,761,В 4м/с
17/03/2022,-3,764,С 2м/с,-6,764,С 2м/с
18/03/2022,0,766,СВ 2м/с,-9,767,СВ 2м/с
19/03/2022,+2,766,З 1м/с,-2,764,З 1м/с
20/03/2022,+5,755,З 1м/с,+3,753,З 1м/с
21/03/2022,0,749,С 2м/с,-1,755,С 2м/с
22/03/2022,+5,758,СЗ 2м/с,-1,757,СЗ 2м/с
23/03/2022,+7,755,З 2м/с,+1,755,З 2м/с
24/03/2022,+6,752,З 2м/с,0,752,З 2м/с
25/03/2022,+7,751,З 1м/с,+3,751,З 1м/с
26/03/2022,+5,743,Ю 2м/с,-2,740,Ю 2м/с
27/03/2022,+1,732,ЮЗ 2м/с,0,734,ЮЗ 2м/с
28/03/2022,-3,742,СЗ 2м/с,-4,743,СЗ 2м/с
29/03/2022,+5,737,З 4м/с,+2,741,З 4м/с
30/03/2022,+4,743,ЮЗ 2м/с,+3,747,ЮЗ 2м/с
31/03/2022,+1,749,В 1м/с,+1,749,В 1м/с
01/04/2022,+7,748,ЮЗ 1м/с,+4,746,ЮЗ 1м/с
02/04/2022,+9,743,Ю 1м/с,+5,743,Ю 1м/с
03/04/2022,+11,737,ЮЗ 3м/с,+8,737,ЮЗ 3м/с
04/04/2022,+5,735,ЮЗ 4м/с,+2,739,ЮЗ 4м/с
05/04/2022,+4,747,ЮЗ 3м/с,+2,749,ЮЗ 3м/с
06/04/2022,+7,746,Ю 3м/с,+5,745,Ю 3м/с
07/04/2022,+8,749,ЮЗ 2м/с,+7,750,ЮЗ 2м/с
08/04/2022,+16,749,ЮВ 2м/с,+11,749,ЮВ 2м/с
09/04/2022,+8,746,В 2м/с,+7,746,В 2м/с
10/04/2022,+11,749,В 1м/с,+8,751,В 1м/с
11/04/2022,+16,749,В 2м/с,+12,749,В 2м/с
12/04/2022,+14,747,СВ 2м/с,+12,748,СВ 2м/с
13/04/2022,+15,746,В 3м/с,+11,744,В 3м/с
14/04/2022,+11,743,ЮВ 2м/с,+7,743,ЮВ 2м/с
